# BOSCH-DARAB extract file created 08.08.2020 14:22:16
#
# Data from source file "C:\Users\nic\Michigan State University\RSO-MSU Formula Racing Team - General\SR22 - Car XX\Systems\Simulation\results\2019_MIS_endurance_constant_aero_coeffs.bmsbin"
# where 0.000 <= xtime <= 120.129
# 
xtime    [   s]	enginespeed[revo]
          4.410	      12759.880
          4.420	      12764.277
          4.430	      12768.846
          4.440	      12773.590
          4.450	      12778.466
          4.460	      12783.477
          4.470	      12788.580
          4.480	      12793.796
          4.490	      12799.097
          4.500	      12804.441
          4.510	      12809.630
          4.520	      12814.663
          4.530	      12819.540
          4.540	      12824.223
          4.550	      12828.780
          4.560	      12833.150
          4.570	      12837.340
          4.580	      12841.360
          4.590	      12845.220
          4.600	      12848.916
          4.610	      12852.443
          4.620	      12855.800
          4.630	      12858.980
          4.640	      12861.973
          4.650	      12864.790
          4.660	      12867.420
          4.670	      12869.863
          4.680	      12872.120
          4.690	      12874.177
          4.700	      12876.043
          4.710	      12877.720
          4.720	      12879.196
          4.730	      12880.480
          4.740	      12881.580
          4.750	      12882.473
          4.760	      12883.187
          4.770	      12883.720
          4.780	      12884.083
          4.790	      12884.286
          4.800	      12884.340
          4.810	      12884.267
          4.820	      12884.076
          4.830	      12883.800
          4.840	      12883.460
          4.850	      12883.070
          4.860	      12882.660
          4.870	      12882.250
          4.880	      12881.877
          4.890	      12881.550
          4.900	      12881.280
          4.910	      12881.103
          4.920	      12881.020
          4.930	      12881.057
          4.940	      12881.200
          4.950	      12881.480
          4.960	      12881.877
          4.970	      12882.410
          4.980	      12883.070
          4.990	      12883.873
          5.000	      12884.793
          5.010	      12885.850
          5.020	      12887.027
          5.030	      12888.333
          5.040	      12889.740
          5.050	      12891.280
          5.060	      12892.920
          5.070	      12894.670
          5.080	      12896.510
          5.090	      12898.450
          5.100	      12900.470
          5.110	      12902.530
          5.120	      12904.647
          5.130	      12906.820
          5.140	      12909.010
          5.150	      12911.233
          5.160	      12913.510
          5.170	      12915.860
          5.180	      12918.260
          5.190	      12920.640
          5.200	      12923.006
          5.210	      12925.407
          5.220	      12927.880
          5.230	      12930.417
          5.240	      12933.017
          5.250	      12935.670
          5.260	      12938.387
          5.270	      12941.150
          5.280	      12943.970
          5.290	      12946.830
          5.300	      12949.747
          5.310	      12952.710
          5.320	      12955.733
          5.330	      12958.810
          5.340	      12961.930
          5.350	      12965.120
          5.360	      12968.356
          5.370	      12971.650
          5.380	      12974.987
          5.390	      12978.370
          5.400	      12981.790
          5.410	      12985.236
          5.420	      12988.713
          5.430	      12992.200
          5.440	      12995.700
          5.450	      12999.193
          5.460	      13002.680
          5.470	      13006.146
          5.480	      13009.597
          5.490	      13013.010
          5.500	      13016.393
          5.510	      13019.730
          5.520	      13023.030
          5.530	      13026.270
          5.540	      13029.464
          5.550	      13032.590
          5.560	      13035.663
          5.570	      13038.680
          5.580	      13041.650
          5.590	      13044.550
          5.600	      13047.400
          5.610	      13050.170
          5.620	      13052.900
          5.630	      13055.590
          5.640	      13058.250
          5.650	      13060.870
          5.660	      13063.470
          5.670	      13066.050
          5.680	      13068.597
          5.690	      13071.127
          5.700	      13073.640
          5.710	      13076.136
          5.720	      13078.614
          5.730	      13081.070
          5.740	      13083.513
          5.750	      13085.947
          5.760	      13088.360
          5.770	      13090.757
          5.780	      13093.143
          5.790	      13095.510
          5.800	      13097.863
          5.810	      13100.207
          5.820	      13102.530
          5.830	      13104.840
          5.840	      13107.144
          5.850	      13109.430
          5.860	      13111.693
          5.870	      13113.930
          5.880	      13116.160
          5.890	      13118.370
          5.900	      13120.580
